DISTANCE,TIME
0,0
0.00006030150754,0.02516074619
0.0001206030151,0.05051423464
0.0001809045226,0.07607112783
0.0002412060302,0.1018422594
0.0003015075377,0.1278386432
0.0003618090452,0.1540714823
0.0004221105528,0.1805521783
0.0004824120603,0.2072923407
0.0005427135678,0.2343037959
0.0006030150754,0.2615985973
0.0006633165829,0.2891890343
0.0007236180905,0.3170876425
0.000783919598,0.3453072135
0.0008442211055,0.3738608045
0.0009045226131,0.4027617491
0.0009648241206,0.4320236669
0.001025125628,0.4616604746
0.001085427136,0.4916863962
0.001145728643,0.5221159742
0.001206030151,0.5529640799
0.001266331658,0.5842459253
0.001326633166,0.6159770742
0.001386934673,0.6481734535
0.001447236181,0.6808513652
0.001507537688,0.7140274985
0.001567839196,0.7477189415
0.001628140704,0.7819431943
0.001688442211,0.8167181808
0.001748743719,0.8520622623
0.001809045226,0.8879942502
0.001869346734,0.9245334194
0.001929648241,0.9616995221
0.001989949749,0.9995128012
0.002050251256,1.037994005
0.002110552764,1.077164401
0.002170854271,1.117045791
0.002231155779,1.157660525
0.002291457286,1.19903152
0.002351758794,1.241182268
0.002412060302,1.284136862
0.002472361809,1.327920001
0.002532663317,1.372557018
0.002592964824,1.418073885
0.002653266332,1.464497239
0.002713567839,1.511854396
0.002773869347,1.560173368
0.002834170854,1.609482881
0.002894472362,1.659812396
0.002954773869,1.711192124
0.003015075377,1.763653047
0.003075376884,1.817226938
0.003135678392,1.871946379
0.003195979899,1.927844782
0.003256281407,1.984956411
0.003316582915,2.043316398
0.003376884422,2.102960771
0.00343718593,2.163926471
0.003497487437,2.226251373
0.003557788945,2.289974313
0.003618090452,2.355135108
0.00367839196,2.421774578
0.003738693467,2.489934573
0.003798994975,2.559657994
0.003859296482,2.630988818
0.00391959799,2.703972126
0.003979899497,2.778654124
0.004040201005,2.85508217
0.004100502513,2.933304803
0.00416080402,3.013371766
0.004221105528,3.095334035
0.004281407035,3.179243846
0.004341708543,3.265154725
0.00440201005,3.353121512
0.004462311558,3.443200395
0.004522613065,3.535448937
0.004582914573,3.629926106
0.00464321608,3.726692308
0.004703517588,3.825809412
0.004763819095,3.927340789
0.004824120603,4.03135134
0.004884422111,4.137907526
0.004944723618,4.247077409
0.005005025126,4.358930676
0.005065326633,4.473538683
0.005125628141,4.590974479
0.005185929648,4.711312853
0.005246231156,4.834630359
0.005306532663,4.961005359
0.005366834171,5.090518058
0.005427135678,5.223250543
0.005487437186,5.359286817
0.005547738693,5.498712844
0.005608040201,5.641616581
0.005668341709,5.788088026
0.005728643216,5.93821925
0.005788944724,6.092104445
0.005849246231,6.249839964
0.005909547739,6.41152436
0.005969849246,6.577258433
0.006030150754,6.747145273
0.006090452261,6.921290303
0.006150753769,7.099801323
0.006211055276,7.282788559
0.006271356784,7.470364708
0.006331658291,7.662644983
0.006391959799,7.859747162
0.006452261307,8.061791638
0.006512562814,8.268901464
0.006572864322,8.481202408
0.006633165829,8.698823
0.006693467337,8.921894581
0.006753768844,9.150551361
0.006814070352,9.384930467
0.006874371859,9.625171997
0.006934673367,9.871419076
0.006994974874,10.12381791
0.007055276382,10.38251783
0.007115577889,10.64767139
0.007175879397,10.91943435
0.007236180905,11.19796581
0.007296482412,11.48342823
0.00735678392,11.77598748
0.007417085427,12.07581294
0.007477386935,12.38307751
0.007537688442,12.69795773
0.00759798995,13.02063377
0.007658291457,13.35128958
0.007718592965,13.69011288
0.007778894472,14.03729526
0.00783919598,14.39303225
0.007899497487,14.75752336
0.007959798995,15.13097218
0.008020100503,15.51358642
0.00808040201,15.90557801
0.008140703518,16.30716315
0.008201005025,16.71856237
0.008261306533,17.14000062
0.00832160804,17.57170736
0.008381909548,18.01391659
0.008442211055,18.46686697
0.008502512563,18.93080185
0.00856281407,19.4059694
0.008623115578,19.89262263
0.008683417085,20.39101952
0.008743718593,20.90142307
0.008804020101,21.42410138
0.008864321608,21.95932776
0.008924623116,22.50738077
0.008984924623,23.06854433
0.009045226131,23.64310782
0.009105527638,24.23136612
0.009165829146,24.83361974
0.009226130653,25.45017488
0.009286432161,26.08134353
0.009346733668,26.72744357
0.009407035176,27.38879883
0.009467336683,28.06573921
0.009527638191,28.75860078
0.009587939698,29.46772582
0.009648241206,30.19346299
0.009708542714,30.93616736
0.009768844221,31.69620056
0.009829145729,32.47393084
0.009889447236,33.26973318
0.009949748744,34.08398941
0.01001005025,34.91708828
0.01007035176,35.76942558
0.01013065327,36.64140425
0.01019095477,37.53343447
0.01025125628,38.44593379
0.01031155779,39.3793272
0.0103718593,40.33404726
0.0104321608,41.31053424
0.01049246231,42.30923615
0.01055276382,43.33060895
0.01061306533,44.3751166
0.01067336683,45.44323117
0.01073366834,46.53543301
0.01079396985,47.65221081
0.01085427136,48.79406176
0.01091457286,49.96149163
0.01097487437,51.15501493
0.01103517588,52.37515501
0.01109547739,53.62244419
0.01115577889,54.89742388
0.0112160804,56.20064471
0.01127638191,57.53266665
0.01133668342,58.89405916
0.01139698492,60.2854013
0.01145728643,61.70728185
0.01151758794,63.16029949
0.01157788945,64.64506287
0.01163819095,66.16219081
0.01169849246,67.71231239
0.01175879397,69.2960671
0.01181909548,70.91410498
0.01187939698,72.56708679
0.01193969849,74.25568411
