,TIME,DISTANCE
0,0.0,0.0
1,0.00354704695867136,4.99592117745538e-05
2,0.00709409391734271,9.93627701134834e-05
3,0.0106411408760141,0.000148213046154578
4,0.0141881878346854,0.000196512812001379
5,0.0319234226280422,0.000429871800210202
6,0.049658657421399,0.00065007654026918
7,0.0673938922147558,0.000857763966690795
8,0.0851291270081125,0.00105365400862708
9,0.137257128471745,0.00156859634748614
10,0.189385129935377,0.00200664382954565
11,0.241513131399009,0.00238336090366051
12,0.293641132862641,0.00271184237578478
13,0.370691905726185,0.00312946639357139
14,0.447742678589729,0.00348354361449801
15,0.524793451453273,0.00378934423404296
16,0.601844224316817,0.00405840289960797
17,0.733081463378018,0.00445285862933801
18,0.864318702439219,0.00478526585892468
19,0.995555941500421,0.00507176733486661
20,1.12679318056162,0.00532417483393901
21,1.36382869282154,0.0057159638044337
22,1.60086420508146,0.00604469437011662
23,1.83789971734139,0.00632757143972813
24,2.07493522960131,0.0065769942386328
25,2.5203658535362,0.00697942497422202
26,2.9657964774711,0.00731617103406459
27,3.411227101406,0.00760577569217383
28,3.8566577253409,0.00786146134720767
29,4.72257478562219,0.00828818269574487
30,5.58849184590348,0.0086447854912672
31,6.45440890618478,0.00895162626167323
32,7.32032596646607,0.00922306298477073
33,9.05676137591647,0.00969071589349036
34,10.7931967853669,0.010081523878477
35,12.5296321948173,0.0104182875085352
36,14.2660676042676,0.0107168781482719
37,17.826753324175,0.0112436364978613
38,21.3874390440823,0.0116842086950727
39,24.9481247639896,0.0120643279972374
40,28.5088104838969,0.012401685953259
41,35.7711702572133,0.0129940788332345
42,43.0335300305296,0.0134896375311197
43,50.295889803846,0.0139165435906721
44,57.5582495771623,0.0142942203827841
45,71.8070870335687,0.0149303269926933
46,86.0559244899751,0.0154603660877502
47,100.304761946381,0.0159138835003558
48,114.553599402788,0.0163119039154504
49,141.368289772438,0.016950165781918
50,168.182980142087,0.0174773231052882
51,194.997670511737,0.0179239841187606
52,221.812360881386,0.0183128672456461
53,251.812360881386,0.0186955911933842
54,281.812360881386,0.0190329873730012
55,311.812360881386,0.0193342689450249
56,341.812360881386,0.0196063909602334
57,371.812360881386,0.0198543047851438
58,401.812360881386,0.0200818157422775
59,431.812360881386,0.0202920158614401
60,461.812360881386,0.0204873966755472
61,491.812360881386,0.0206699269387967
62,521.812360881386,0.0208412351392776
63,551.812360881386,0.0210026893669623
64,581.812360881386,0.0211554408170059
